name,address,class,longitude,latitude
Royal Orchid Central,"Kalyani Nagar, Marisoft Annexe Building, Pune, Maharashtra, Pune, Maharashtra 411014",Restaurants,73.9065217,18.5462596
Basho's,"Eden Villa, Dhayarkar Vasti, Near tadi Gutta chowk, Mundhwa, Pune, Maharashtra 411036",Restaurants,73.9183358,18.5302357
Chung Fa,"2435, East Street, Camp, Pune, Maharashtra 411001",Restaurants,73.8795466,18.5171383
Shee Chinese Restaurant,"Shop No. 5 Ground Floor, B-8 Kubera Park, Lullanager, Kondhwa, Pune, Maharashtra 411041",Restaurants,73.8901334,18.4830562
Sheraton Grand Pune Bund Garden Hotel,"Raja Bahadur Mill Road, Pune, Maharashtra 411001",Restaurants,73.8713998,18.5298947
Vaishali,"917, Fergusson College Rd, Deccan Gymkhana, Pune, Maharashtra 411004",Restaurants,73.8411639,18.5208538
Foodland Restaurant,"Shardaram Park, 31/1, D P Road, Pune, Maharashtra 411001",Restaurants,73.871968,18.525424
The Grand Buffet,"Second Floor, Seasons Mall, Magarpatta, Pune, Maharashtra 411028",Restaurants,73.9308187,18.5192152
Greens & Olives,"163, Harsh Orchid, Opposite Tangent Furniture Mall, New D.P. road, Nagras Road, Pune, Maharashtra 411007",Restaurants,73.804568,18.565736
Arctic Seafood Restaurant,"12-13, Landmark Garden, Kalyani Nagar, North Ave, Pune, Maharashtra 411001",Restaurants,73.905458,18.54885
Wood Fire Grill,"121,122, Rambaug Colony, Near MIT College, Kothrud, Pune, Maharashtra 411038",Restaurants,73.8147556,18.5121038
Darshan Restaurant,"759 / 60, Prabhat Road, Next to Deccan Police Station, Pune, Maharashtra 411004",Restaurants,73.8408997,18.5140602
Falahaar,"10 - Royal Tower, Viman Nagar, Pune, Maharashtra 411014",Restaurants,73.9180732,18.5654561
Carnival Restaurant and Bar,"84/33, Mundhwa Road, Mundhwa, Pune, Maharashtra 411036",Restaurants,73.9156492,18.5329137
Rajdhani Restaurant,"Level - 2, East Block, Amanora Town Centre, Hadapsar Kharadi Bypass, Hadapsar, Pune, Maharashtra 411028",Restaurants,73.9351613,18.5186078
Gandharv Restaurant,"1284, Shivaji Nagar, Pune, Maharashtra 411005",Restaurants,73.8490974,18.522613
Panchavati Gaurav,"Kotwal Complex, Bhandarkar Rd, Shivaji Nagar, Deccan Gymkhana, Pune, Maharashtra 411005",Restaurants,73.8385733,18.5178051
Supriya Restaurant,"Gitanjali Kunj, Opposite Nehru Memorial Hall, Ambedkar Road, Pune, Maharashtra 411011",Restaurants,73.8758117,18.5193091
Atlantis Bar Grill & Banquets,"1st Floor, Sacred World Mall, South Block, Jagtap Chowk, Wanowrie, Pune, Maharashtra 411040",Restaurants,73.9003382,18.4908181
Manali Veg Restaurant,"Sr. No.34, Plot No.10, 4th Dimension Building, Mehandale Garage Road,, Erandwane, Pune, Maharashtra 411004",Restaurants,73.828785,18.502917
Soy Restaurant,"Plot No. 261, Le Royce Hotel, Bund Garden Road, Pune, Maharashtra 411001",Restaurants,73.881021,18.5372172
Mahesh Lunch Home Pune : Seafood Restaurant,"18, Ashoka Pavillion, Ambedkar Road, Pune, Maharashtra 411001",Restaurants,73.8724942,18.520879
Sarovar Restaurant and Bar,"No.762, Opposite Kaka Halwai, Garware Bridge, Deccan Gymkhana, Pune, Maharashtra 411004",Restaurants,73.8418613,18.5160485
Coconut Grove- Seafood Restaurant Pune & Resto-Bar,"408/B, Akshaya Guestline, Ambedkar Bhavan, Camp Area, Pune, Maharashtra 411011",Restaurants,73.867129,18.525418
German Bakery Wunderbar,"153/A, Varun Complex, Law College Road, Near Demech House, Shivajinagar, Pune, Maharashtra 411004",Restaurants,73.8305678,18.5199119
Dorabjee and Sons Restaurant,"No. 845, Dastur Meher Road, Sharbat Wala Chowk, Pune, Maharashtra 411001",Restaurants,73.8769982,18.5150658
Harajuku,"14/17, N Main Rd, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.8877613,18.5399287
Exotica Pune,"Panchshil Tech Park, Near Pune Golf Course, Tower C, Yerawada, Maharashtra 411006",Restaurants,73.892668,18.553097
Magnolia Restaurant,"991, Main Road, Opp. Corporation Bank, Baner, Pune, Maharashtra 411045",Restaurants,73.8018975,18.5538949
Sudama Restaurant,"365/11, J M Road, Opp Jungli Maharaj Temple, Shivajinagar, Pune, Maharashtra 411005",Restaurants,73.8523201,18.5261359
Gourmet Avenue,"Ground Level, Hyatt Regency Off, Pune Nagar Rd, Pune, Maharashtra 411014",Restaurants,73.912258,18.559978
Keys Prima Hotel Parc Estique,"Pune-Ahmednagar Road, Viman Nagar, Pune, Maharashtra 411014",Restaurants,73.919715,18.561789
GreenPark,"Ward No. 8, Someshwarwadi, Aundh, Pune, Maharashtra 411007",Restaurants,73.8039777,18.5506065
Theos Multi-Cuisine Restaurant,"Quadra, No.4, Behind Kapil Malhar,, Baner road,, Baner, Pune, Maharashtra 411045",Restaurants,73.792663,18.5605
Arafa Restaurant,"K K Complex, Sai Nagari, Old Mundhwa-road, Chandan Nagar, Near Water Tank, Chandan Nagar, Pune, Maharashtra 411014",Restaurants,73.9285335,18.560023
Heenaz,"52/2, Kondhwa Rd, Sahakarnagar No - 2, Kondhwa, Pune, Maharashtra 411048",Restaurants,73.889099,18.4694312
Portobello,"Sukhai Corner Near HDFC Bank Datta Mandir Chowak Vimannagar pune -14, Pune, Maharashtra 411014",Restaurants,73.9141051,18.5671713
Nebula,"38,, Amchi Colony, NDA Pashan Road, Sagar Co-Operative Housing Society, Bavdhan, Pune 411021",Restaurants,73.7813352,18.5163827
Spice Route,"Lal Bahadur Shastri Road, Near Prakash Super Market, Navi Peth, Sadashiv Peth, Pune, Maharashtra 411030",Restaurants,73.844363,18.506163
R. Bhagat Tarachand,"Shop No. 709, 2nd Floor, City Jewel Mall, Laxmi Road, Opposite Om Supermarket, Shagun Chowk, Narayan Peth, Pune, Maharashtra 411030",Restaurants,73.8512859,18.5144716
Taareef Restaurant,"Unit No. 1, Shyamal Apartment, Next To Ozone On , ITI Road, Aundh, Pune, Maharashtra 411007",Restaurants,73.808932,18.556002
Addah- The O Hotel,"The O Hotel, North Main Road, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.894442,18.539608
Kargo Kitchen & Bar,"27, Lane Number 8, Suyojana Society, Kavadewadi, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.8964935,18.5365246
